"","MDG_T10i","MDG_T11r","MDG_T12i","MDG_T13i","MDG_T14r","MDG_T15i","MDG_T16r","MDG_T1i","MDG_T2r","MDG_T3r","MDG_T4i","MDG_T5i","MDG_T6r","MDG_T7r","MDG_T8i","MDG_T9r"
"1854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21396795416275,NA,NA,NA,NA,NA
"1855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36047288113051,NA,NA,NA,NA,NA
"1856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20074948244715,NA,NA,NA,NA,NA
"1857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09761397888149,NA,NA,NA,NA,NA
"1858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969011395958256,NA,NA,NA,NA,NA
"1859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724009622391382,NA,NA,NA,NA,NA
"1860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1168119969126,NA,NA,NA,NA,NA
"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17961640597849,NA,NA,NA,NA,NA
"1862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896027510635891,NA,NA,NA,NA,NA
"1863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826402915506607,NA,NA,NA,NA,NA
"1864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867002705954309,NA,NA,NA,NA,NA
"1865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69904677600941,NA,NA,NA,NA,NA
"1866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02924898491489,NA,NA,NA,NA,NA
"1867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20649595997526,NA,NA,NA,NA,NA
"1868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34541998653257,NA,NA,NA,0.807450317187399,NA
"1869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25729814416959,NA,NA,NA,0.986863084546594,NA
"1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04944711741632,NA,NA,NA,0.920246083222965,NA
"1871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846619646477034,NA,NA,NA,0.849035911427585,NA
"1872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.949007167797609,NA,NA,NA,1.01360902514331,NA
"1873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06762813073399,NA,NA,NA,1.01644419328575,NA
"1874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884040580587319,NA,NA,NA,0.936821877321295,NA
"1875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912000307251879,NA,NA,NA,1.08240589741069,NA
"1876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825114908445518,NA,NA,NA,0.774327618011273,NA
"1877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980362428387688,NA,NA,NA,1.36377961899032,NA
"1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0674822741185,NA,NA,NA,1.2571878514534,NA
"1879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0657705610404,NA,NA,NA,1.66376638180453,NA
"1880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73812525595562,NA,NA,NA,1.16039705839115,NA
