"","GF_T10i","GF_T11r","GF_T13i","GF_T15i","GF_T16r","GF_T17i","GF_T18r","GF_T4i","GF_T5r","GF_T6i","GF_T7r","GF_T8i","GF_T9r"
"1923",NA,NA,NA,NA,NA,0.558668850762997,NA,NA,1.53514505848447,NA,0.897073943368439,1.07828563899511,0.479825588962645
"1924",NA,NA,NA,NA,NA,0.940425898784378,NA,NA,0.905183596906145,NA,0.990607719454248,1.00427277254358,0.460106729142262
"1925",NA,NA,NA,NA,NA,0.777480817311837,NA,NA,0.401185225704012,NA,0.888570872815183,1.09202359517989,0.506117402056488
"1926",NA,NA,NA,NA,NA,1.02422622639883,NA,NA,0.400914396709521,NA,1.16917220107261,1.51013794365912,0.381231289860731
"1927",NA,NA,NA,NA,NA,0.991637210104319,NA,NA,0.725355237391882,NA,1.0756384249868,1.22713287010378,0.387804243134192
"1928",NA,NA,NA,NA,NA,0.79610311233727,NA,NA,0.630689066381809,NA,1.198932948009,1.28122501192607,0.302355850579201
"1929",NA,NA,NA,NA,NA,0.819380981119062,NA,NA,0.953581171167001,NA,0.943840831411343,0.728361824337132,0.354939476766888
"1930",NA,NA,NA,NA,NA,0.758858522286404,NA,NA,1.81213398839923,NA,1.10539917192319,0.863346251038226,0.453533775868801
"1931",NA,NA,NA,NA,NA,0.82403655487542,NA,NA,0.126124737374464,NA,1.14791452468947,1.07256540911913,0.427241962774958
"1932",NA,NA,NA,NA,NA,0.810069833606345,NA,NA,0.576421969100932,NA,0.892822408091811,1.12666489852799,0.414096056228036
"1933",NA,NA,NA,NA,NA,0.446935080610397,NA,NA,0.770385992321358,NA,0.977853113624364,1.34271241950763,0.374658336587271
"1934",NA,NA,NA,NA,NA,0.419001638072248,NA,NA,1.35524978047255,NA,1.20318448328563,1.87597207060576,0.341793570219966
"1935",NA,NA,NA,NA,NA,0.726269505991896,NA,NA,2.19068313672191,NA,1.03312307222052,1.5252522016612,0.262918130938436
"1936",NA,NA,NA,NA,NA,0.414346064315889,NA,NA,3.11868440570216,NA,1.14791452468947,1.53893303910707,0.348366523493427
"1937",NA,NA,NA,NA,NA,0.484179670661264,NA,NA,0.858588957658602,NA,0.965098507794481,1.57961916861116,0.420669009501497
"1938",NA,NA,NA,NA,NA,0.311923441676007,NA,NA,5.91714009664369,NA,1.33923361213772,1.95788060015555,0.381231289860731
"1939",NA,NA,NA,NA,NA,0.35847917923959,NA,NA,2.00160831578774,NA,1.05012921332704,1.78931067433898,0.322074710399583
"1940",NA,NA,NA,NA,NA,0.381757048021381,NA,NA,2.57233255088348,NA,1.10965070719982,1.79627652883022,0.427241962774958
"1941",NA,NA,NA,NA,0.338929219600726,0.297956720406932,NA,NA,0.769810819043893,NA,1.06713535443355,1.73570681143171,0.466679682415723
"1942",NA,NA,NA,NA,0.560174682395644,0.400379343046814,NA,NA,0.676849767604929,NA,0.914080084474949,1.96556733179373,0.361512430040349
"1943",NA,NA,NA,NA,0.47073502722323,0.474868523148547,NA,NA,0.867642046868169,NA,0.837552449495651,1.72260940920419,0.374658336587271
"1944",NA,NA,NA,NA,0.560174682395644,0.484179670661264,0.744363943952043,NA,0.869762298692241,NA,0.74827020868647,1.22961662661433,0.335220616946505
"1945",NA,NA,NA,NA,0.536637931034483,0.544702129493922,0.847339193115369,NA,0.911717135750105,NA,0.727012532303332,1.3581448992354,0.394377196407653
"1946",NA,NA,NA,NA,0.588418784029038,0.609880162082938,0.991504541944026,NA,0.622797447428222,NA,0.820546308389141,1.43264182868418,0.269491084211896
"1947",NA,NA,NA,NA,0.498979128856624,0.63315803086473,0.797322643521754,NA,0.404048812610672,NA,0.918331619751577,1.08136789509427,0.170896785109983
"1948",NA,NA,NA,NA,0.0941470054446461,0.498146391930339,0.629620094884337,NA,0.783993721196929,NA,0.892822408091811,0.824641237471123,0.236626317844592
"1949",NA,NA,NA,NA,0.0753176043557169,0.675058194671954,0.553124195505866,NA,1.15935650359859,NA,1.03737460749715,0.763898041408164,0.210334504750748
"1950",NA,NA,NA,NA,0.174171960072595,0.591257867057505,0.476628296127395,NA,0.821470661655169,NA,1.11815377775308,0.993861870191379,0.230053364571131
"1951",NA,NA,NA,NA,0.522515880217786,0.856625571169929,0.729653194071568,NA,0.583682191876491,NA,1.43276738822353,1.37940123099259,0.243199271118053
"1952",NA,NA,0.952924086727283,NA,0.691980490018149,0.875247866195362,0.659041594645287,NA,0.50150158279008,NA,1.29246672409481,1.09553740417786,0.308928803852662
"1953",NA,NA,1.1001237424006,NA,0.842615698729583,0.940425898784378,0.735537494023758,NA,0.170937016712895,NA,1.52204962903271,1.22417224877723,0.243199271118053
"1954",NA,NA,1.15822886964007,NA,0.979128856624319,0.954392620053453,0.997388841896216,NA,0.574140690392427,NA,1.25420290660516,1.38665870461898,0.341793570219966
"1955",NA,0.654491950009233,0.921934685532899,NA,0.626077586206897,0.470212949392189,0.853223493067559,NA,0.586728265019594,NA,1.05012921332704,1.28534908958418,0.354939476766888
"1956",NA,0.631568206425794,0.852208532845537,NA,0.541345281306715,0.0838003276144495,0.753190393880328,NA,0.443039097151063,NA,1.07138688971017,1.21107852326564,0.236626317844592
"1957",NA,0.910041869802851,1.23957604777533,NA,0.522515880217786,0.288645572894215,0.841454893163179,NA,0.47908651642171,NA,1.16492066579598,1.27212241603572,0.262918130938436
"1958",NA,1.0118710677139,1.32479690105988,NA,0.597833484573503,1.53168376584188,0.89441359273289,NA,0.570653598269099,NA,1.24995137132854,1.38055277798357,0.44038786932188
"1959",NA,0.739618937138545,1.03814494001184,NA,0.362465970961887,1.12199327528235,0.638446544812622,NA,0.443759660572852,NA,0.948092366687971,1.35364455065413,0.322074710399583
"1960",NA,0.763118084805222,0.980039812772368,NA,0.395417422867514,1.23838261919131,0.759074693832518,NA,0.452777112694823,NA,1.07138688971017,1.1507351205297,0.335220616946505
"1961",NA,0.653110605521441,0.693387851724323,NA,0.310685117967332,0.945081472540736,0.623735794932147,1.06710364072944,0.635016906287507,NA,0.841803984772279,1.08994386662436,0.354939476766888
"1962",NA,0.792747992377944,1.04201861516113,NA,0.466027676950998,1.21510475040952,0.9473722923026,0.921961191511454,0.529778351690645,NA,0.697251785366938,1.13746843286844,0.354939476766888
"1963",NA,0.711716344121598,1.07688169150482,NA,0.409539473684211,1.10802655401328,1.2445294398882,1.01599714452593,0.390018046350045,NA,0.990607719454248,1.16468998125064,0.473252635689184
"1964",NA,0.723616761893571,0.95679776187658,NA,0.423661524500907,1.08940425898784,0.90618219263727,0.889253033941203,0.336289961555371,NA,0.901325478645066,1.02261148919324,0.466679682415723
"1965",NA,0.863444052196673,0.906439984935708,NA,0.673151088929219,0.810069833606345,1.31808318929057,1.10390031799598,0.342573488690129,NA,0.901325478645066,1.18528722361443,0.499544448783027
"1966",NA,1.31457308090062,1.1039974175499,NA,1.00266560798548,0.931114751271661,1.47401713802361,1.29401648387306,0.285432386302377,NA,0.982104648900992,1.55121814755466,0.66386828061955
"1967",NA,1.31508355595267,1.01102921396675,NA,1.16742286751361,1.46185015949651,1.09447979110735,0.985333246803816,0.322864412416718,NA,1.12665684830633,1.59205146639266,0.953078224651829
"1968",NA,1.3679853561474,0.852208532845537,NA,0.955592105263158,1.04284852142426,1.29748813945791,1.16727237328834,0.197147221672636,NA,1.13941145413622,1.55158858436385,0.966224131198751
"1969",NA,1.67133776483041,1.18534459568516,NA,0.772005444646098,1.68066212604535,1.23276083998382,0.885164514244922,0.434572168891491,NA,1.07988996026343,1.57887908954402,1.18313158922296
"1970",NA,1.04863329765827,0.898692634637112,NA,0.635492286751361,1.17320458660229,1.39163693869295,1.15909533389578,0.54397358302853,NA,0.901325478645066,1.32153730845877,0.703306000260315
"1971",NA,0.847974918634331,0.952924086727283,NA,0.819078947368421,1.29890507802397,1.53580228752161,0.887208774093062,0.414800016493562,NA,0.8758162669853,0.711682008733353,0.861056878823376
