"","TG_T10i","TG_T11i","TG_T12r","TG_T13i","TG_T14r","TG_T15r","TG_T17r","TG_T18i","TG_T19r","TG_T1r","TG_T20i","TG_T2i","TG_T3r","TG_T4i","TG_T6i","TG_T8i","TG_T9r"
"1861",NA,NA,NA,NA,NA,1.42802474064131,NA,NA,NA,NA,NA,1.26992151124119,NA,NA,NA,NA,NA
"1862",NA,NA,NA,NA,NA,1.37087720681618,NA,NA,NA,NA,NA,1.25848077690568,NA,NA,NA,NA,NA
"1863",NA,NA,NA,NA,NA,1.22960026245802,NA,NA,NA,NA,NA,1.40148995609951,NA,NA,NA,NA,NA
"1864",NA,NA,NA,NA,NA,1.10430983237703,NA,NA,NA,NA,NA,1.05254755886657,NA,NA,NA,NA,NA
"1865",NA,NA,NA,NA,NA,0.919759683520775,NA,NA,NA,NA,NA,1.2928029799122,NA,NA,NA,NA,NA
"1866",NA,NA,NA,NA,NA,1.17102606040385,NA,NA,NA,NA,NA,1.38432885459625,NA,NA,NA,NA,NA
"1867",NA,NA,NA,NA,NA,1.29037707147063,NA,NA,NA,NA,NA,1.32140481575096,NA,NA,NA,NA,NA
"1868",NA,NA,NA,NA,NA,1.23473898909658,NA,NA,NA,NA,NA,1.4758547292803,NA,NA,NA,NA,NA
"1869",NA,NA,NA,NA,NA,1.17841546080725,NA,NA,NA,NA,NA,1.35000665158973,NA,NA,NA,NA,NA
"1870",NA,NA,NA,NA,NA,1.03900857987565,NA,NA,NA,NA,NA,1.2928029799122,NA,NA,0.669476046804425,NA,NA
"1871",0.845832819162261,NA,NA,NA,NA,0.948557452979056,NA,NA,NA,NA,NA,1.20127710522815,NA,NA,0.849117455210312,NA,NA
"1872",0.923056183583613,NA,NA,NA,NA,1.0561923689945,NA,NA,NA,NA,NA,1.22987894106691,NA,NA,1.02550080662808,NA,NA
"1873",0.916474233636535,NA,NA,NA,NA,0.913449837485073,NA,NA,NA,NA,NA,1.1955567380604,NA,NA,1.01553806786456,NA,NA
"1874",0.966875499440362,NA,NA,NA,NA,0.965884244536938,NA,NA,NA,NA,NA,1.17267526938938,NA,NA,0.909334998782049,NA,NA
"1875",0.959228115944336,NA,NA,NA,NA,1.23593958690843,NA,NA,NA,NA,NA,1.0125049886923,NA,NA,1.140140126532,NA,NA
"1876",0.922950416779337,NA,NA,NA,NA,1.15331850159371,NA,NA,NA,NA,NA,1.38432885459625,NA,NA,0.914906218132353,NA,NA
"1877",1.08689146983173,NA,NA,NA,NA,1.2224722627868,NA,NA,NA,NA,NA,1.22987894106691,NA,NA,1.16920739991253,NA,NA
"1878",1.05426102486475,NA,NA,NA,NA,1.07624772398026,NA,NA,NA,NA,NA,1.37288812026074,NA,NA,0.920546124645731,NA,NA
"1879",1.15721420360767,NA,NA,NA,NA,1.16991410250336,NA,NA,NA,NA,NA,1.30424371424771,NA,NA,1.1941947638682,NA,NA
"1880",0.854236061257383,NA,NA,NA,NA,1.12852262364582,NA,NA,NA,NA,NA,1.12691233204736,NA,NA,0.9440686117764,NA,NA
"1881",1.22911489697203,NA,NA,NA,NA,1.33622006643921,NA,NA,NA,NA,NA,1.32712518291872,NA,NA,0.8978685243829,NA,NA
"1882",1.23220754196485,NA,NA,NA,NA,1.05397824592071,NA,NA,NA,NA,NA,1.30996408141546,NA,NA,0.811051552863358,NA,NA
"1883",1.18311160106196,NA,NA,NA,NA,0.986240989553883,NA,NA,NA,NA,NA,1.41865105760277,NA,NA,0.831570431762434,NA,NA
"1884",1.28725441280691,NA,NA,NA,NA,0.877736986090214,NA,NA,NA,NA,NA,1.33856591725422,NA,NA,0.825163636363637,NA,NA
"1885",1.35354135109442,NA,NA,NA,NA,1.19944723540687,NA,NA,NA,NA,NA,1.52733803379008,NA,NA,0.714680680355178,NA,NA
"1886",1.03971469148733,NA,NA,NA,NA,1.14643773624172,NA,NA,NA,NA,NA,1.30424371424771,NA,NA,0.798615797503737,NA,NA
"1887",1.1376648585269,NA,NA,NA,NA,1.16388861089362,NA,NA,NA,NA,NA,1.15551416788612,NA,NA,0.814803471781762,NA,NA
"1888",1.12310408378163,NA,NA,NA,NA,1.1815423365369,NA,NA,NA,NA,NA,1.18983637089264,NA,NA,0.821961205634928,NA,NA
"1889",1.01189296461439,NA,NA,NA,NA,1.37442198462568,NA,NA,NA,NA,NA,1.13835306638287,NA,NA,1.13609294845345,NA,NA
"1890",0.961548242176853,NA,NA,NA,NA,0.901446297943936,NA,NA,0.897322467024348,NA,NA,1.24131967540242,NA,NA,0.988071634880669,NA,NA
